downloadKey	numberRecords	totalRecords	numberDatasets
0063649-200221144449610	464	240837	628
0002225-191105090559680	1	1481974	166
0011490-180824113759888	3	53779	170
0027335-180131172636756	2	32252	256
0027341-180131172636756	2	6459	165
0027343-180131172636756	2366	1729350	1217
0027339-180131172636756	1252424	118150450	2523
0027342-180131172636756	288	30187	214
0011498-180824113759888	301	4636929	1586
0011495-180824113759888	31	536593	900
0011492-180824113759888	17184	40189850	2569
0008417-190813142620410	17	9161	31
0071749-200221144449610	1	429082	38
0007691-200221144449610	7	5924130	50
0071763-200221144449610	3	678514	38
0071689-200221144449610	1	685516	32
0071773-200221144449610	3	725855	30
0071699-200221144449610	1	345358	21
0007697-200221144449610	4	2027283	41
0017691-200127171203522	4	1255996	24
0071800-200221144449610	3	2801160	46
0071783-200221144449610	5	832821	36
0000072-200221144449610	43	1563114	32
0001459-200221144449610	2	2834554	43
0000571-200221144449610	26	1578654	36
0072865-160910150852091	1	76181	51
0018991-191105090559680	921	3784494	362
0076059-200221144449610	4766787	1417307629	30880
0006532-191105090559680	455	37472	383
0001679-180925134338326	4	54185	50
0024698-180131172636756	15	129	6
0010652-181003121212138	86	235099	558
0000865-180925134338326	1	190	13
0000921-180925134338326	2	331	21
0006950-190813142620410	2	1294	24
0015718-190415153152247	3833	2834469	92
0015730-190415153152247	3800	1372999	114
0015708-190415153152247	17	3439988	82
0014754-190415153152247	10485	1216920	238
0016409-190415153152247	87	325970	177
0006381-200127171203522	2	4994	116
0006374-200127171203522	2	4286	80
0006368-200127171203522	6	2426	92
0006382-200127171203522	2	646	63
0006362-200127171203522	26	4614	113
0006367-200127171203522	6	3083	111
0006387-200127171203522	6	343885	759
0006364-200127171203522	11	3979	130
0013657-180131172636756	4	95578	276
0013688-180131172636756	6	244825	620
0013726-180131172636756	1	46739	179
0013831-180131172636756	18	654	39
0014076-180131172636756	137	949	42
0013829-180131172636756	1	873	50
0014125-180131172636756	5	425133	849
0013796-180131172636756	2	2327	16
0013634-180131172636756	43	103490	355
0013699-180131172636756	3	52163	232
0013818-180131172636756	1	8101	44
0013652-180131172636756	21	977	37
0013728-180131172636756	2	567405	661
0013676-180131172636756	31	132275	231
0013701-180131172636756	2	96250	415
0013679-180131172636756	7	63122	424
0013774-180131172636756	5	29494	252
0013685-180131172636756	10	596421	845
0013768-180131172636756	5	2320	105
0013821-180131172636756	1060	224330	499
0013839-180131172636756	1	31797	122
0014068-180131172636756	382	5346	98
0013783-180131172636756	25	370342	755
0013719-180131172636756	1	62045	262
0013841-180131172636756	55	1845	74
0013827-180131172636756	16	1050	62
0013824-180131172636756	5	4281	105
0013847-180131172636756	7	552404	977
0013816-180131172636756	6	104990	470
0013630-180131172636756	5	201592	413
0013639-180131172636756	2	347582	340
0013633-180131172636756	140	6115	42
0013636-180131172636756	19	16110	164
0013708-180131172636756	11	107544	240
0014063-180131172636756	7	3105	96
0013832-180131172636756	1	813	47
0013672-180131172636756	2	74977	319
0013625-180131172636756	3	3588	82
0013849-180131172636756	8	394756	941
0014102-180131172636756	2	67260	218
0013776-180131172636756	8	115189	409
0013791-180131172636756	5	189321	472
0014060-180131172636756	84	1265	11
0013828-180131172636756	3	1368	44
0013843-180131172636756	4	319763	539
0013825-180131172636756	1	680	26
0013797-180131172636756	2	93376	344
0013769-180131172636756	3	153499	458
0014085-180131172636756	2	62530	245
0014088-180131172636756	2	44330	148
0013665-180131172636756	11	2180	39
0013715-180131172636756	2	304908	632
0005800-190813142620410	5225	3321927	1373
0003822-180508205500799	1280111	215046618	3674
0011044-180131172636756	12	4141	210
0044211-181108115102211	1241	218695	539
0011273-180131172636756	2	3675	150
0026458-181108115102211	2640	497339	499
0011256-180131172636756	11	491	44
